quarter,d013_count,e015_count,overlap_count,union_count,jaccard,d013_tickers,e015_tickers,overlap_tickers
2017-03-31,5,5,2,8,0.25,000660 005380 005930 015760 035420,005930 017670 035420 051910 207940,005930 035420
2017-06-30,5,5,1,9,0.1111111111111111,000660 005380 005930 028260 035420,005490 005930 010130 105560 207940,005930
2017-12-28,5,5,1,9,0.1111111111111111,000660 005380 005490 005930 035420,005490 008930 028260 051910 207940,005490
2019-06-28,5,5,1,9,0.1111111111111111,000660 005380 005930 051910 068270,000210 000720 005380 086280 207940,005380
2019-09-30,5,5,2,8,0.25,000660 005380 005930 012330 035420,005380 005930 018880 128940 207940,005380 005930
2019-12-30,5,5,3,7,0.42857142857142855,000660 005380 005930 035420 207940,005930 028260 035420 128940 207940,005930 035420 207940
2020-03-31,5,5,1,9,0.1111111111111111,000660 005930 035420 068270 207940,003490 028260 033780 128940 207940,207940
2020-06-30,5,5,2,8,0.25,000660 005930 035420 068270 207940,017800 033780 035420 086280 207940,035420 207940
2020-09-29,5,5,2,8,0.25,000660 005930 035420 051910 207940,000120 005490 005930 034020 051910,005930 051910
2020-12-30,5,5,1,9,0.1111111111111111,000660 005930 051910 068270 207940,000720 005930 006360 028260 086280,005930
2021-03-31,5,5,0,10,0.0,000660 005930 035420 051910 207940,003490 005380 005490 011200 068270,
2021-06-30,5,5,2,8,0.25,000660 005930 035420 035720 051910,003490 011200 028260 035720 051910,035720 051910
2021-09-30,5,5,2,8,0.25,000660 005930 035420 051910 207940,005930 028260 051910 068270 323410,005930 051910
2021-12-30,5,5,1,9,0.1111111111111111,000660 005930 035420 035720 207940,000720 005930 006360 011200 028260,005930
2023-09-27,5,5,0,10,0.0,000660 005490 005930 207940 373220,003670 005380 028260 033780 271560,
2023-12-28,5,5,1,9,0.1111111111111111,000660 005380 005930 207940 373220,011200 028260 035420 207940 329180,207940
2024-03-29,5,5,3,7,0.42857142857142855,000660 005380 005930 207940 373220,005380 005930 012450 042700 207940,005380 005930 207940
2024-09-30,5,5,1,9,0.1111111111111111,000660 005380 005930 207940 373220,035420 051910 068270 329180 373220,373220
2025-06-30,5,5,1,9,0.1111111111111111,000660 005930 034020 207940 373220,000720 005930 033780 051600 105560,005930
2025-09-30,5,5,3,7,0.42857142857142855,000660 005930 012450 207940 373220,000660 005930 105560 207940 329180,000660 005930 207940
2025-12-30,5,5,4,6,0.6666666666666666,000660 005380 005930 207940 373220,000660 005380 005930 028260 207940,000660 005380 005930 207940
2026-03-31,5,5,2,8,0.25,000660 005380 005930 207940 373220,000720 005930 034020 047040 373220,005930 373220
